epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202125,2021-06-22,467,AM,,13,state,398245,9464.64042,720,13241,15,0.0332,4207714,True,False
202125,2021-06-21,466,AM,,13,state,397525,9447.52899,393,13226,6,0.0333,4207714,False,False
202125,2021-06-20,465,AM,,13,state,397132,9438.189,225,13220,6,0.0333,4207714,False,False
202124,2021-06-19,464,AM,,13,state,396907,9432.84168,499,13214,5,0.0333,4207714,False,False
202124,2021-06-18,463,AM,,13,state,396408,9420.98251,684,13209,12,0.0333,4207714,False,False
202124,2021-06-17,462,AM,,13,state,395724,9404.72665,620,13197,15,0.0333,4207714,False,False
202124,2021-06-16,461,AM,,13,state,395104,9389.99181,503,13182,20,0.0334,4207714,False,False
202124,2021-06-15,460,AM,,13,state,394601,9378.03758,726,13162,13,0.0334,4207714,False,False
202124,2021-06-14,459,AM,,13,state,393875,9360.78355,383,13149,9,0.0334,4207714,False,False
202124,2021-06-13,458,AM,,13,state,393492,9351.68122,314,13140,4,0.0334,4207714,False,False
202123,2021-06-12,457,AM,,13,state,393178,9344.21874,604,13136,7,0.0334,4207714,False,False
202123,2021-06-11,456,AM,,13,state,392574,9329.86415,716,13129,10,0.0334,4207714,False,False
202123,2021-06-10,455,AM,,13,state,391858,9312.84778,795,13119,16,0.0335,4207714,False,False
202123,2021-06-09,454,AM,,13,state,391063,9293.95391,677,13103,17,0.0335,4207714,False,False
202123,2021-06-08,453,AM,,13,state,390386,9277.86442,550,13086,23,0.0335,4207714,False,False
202123,2021-06-07,452,AM,,13,state,389836,9264.79319,286,13063,9,0.0335,4207714,False,False
202123,2021-06-06,451,AM,,13,state,389550,9257.99615,350,13054,4,0.0335,4207714,False,False
202122,2021-06-05,450,AM,,13,state,389200,9249.67809,450,13050,8,0.0335,4207714,False,False
202122,2021-06-04,449,AM,,13,state,388750,9238.98345,456,13042,26,0.0335,4207714,False,False
202122,2021-06-03,448,AM,,13,state,388294,9228.14621,585,13016,7,0.0335,4207714,False,False
202122,2021-06-02,447,AM,,13,state,387709,9214.24317,671,13009,13,0.0336,4207714,False,False
202122,2021-06-01,446,AM,,13,state,387038,9198.29627,620,12996,11,0.0336,4207714,False,False
202122,2021-05-31,445,AM,,13,state,386418,9183.56143,344,12985,7,0.0336,4207714,False,False
202122,2021-05-30,444,AM,,13,state,386074,9175.38597,246,12978,6,0.0336,4207714,False,False
202121,2021-05-29,443,AM,,13,state,385828,9169.53956,473,12972,6,0.0336,4207714,False,False
202121,2021-05-28,442,AM,,13,state,385355,9158.29831,721,12966,15,0.0336,4207714,False,False
202121,2021-05-27,441,AM,,13,state,384634,9141.16311,654,12951,8,0.0337,4207714,False,False
202121,2021-05-26,440,AM,,13,state,383980,9125.62023,600,12943,8,0.0337,4207714,False,False
202121,2021-05-25,439,AM,,13,state,383380,9111.36071,535,12935,10,0.0337,4207714,False,False
202121,2021-05-24,438,AM,,13,state,382845,9098.64596,358,12925,5,0.0338,4207714,False,False
202121,2021-05-23,437,AM,,13,state,382487,9090.13778,337,12920,5,0.0338,4207714,False,False
202120,2021-05-22,436,AM,,13,state,382150,9082.12868,515,12915,3,0.0338,4207714,False,False
202120,2021-05-21,435,AM,,13,state,381635,9069.88926,599,12912,9,0.0338,4207714,False,False
202120,2021-05-20,434,AM,,13,state,381036,9055.6535,620,12903,10,0.0339,4207714,False,False
202120,2021-05-19,433,AM,,13,state,380416,9040.91866,586,12893,14,0.0339,4207714,False,False
202120,2021-05-18,432,AM,,13,state,379830,9026.99185,663,12879,24,0.0339,4207714,False,False
202120,2021-05-17,431,AM,,13,state,379167,9011.23508,312,12855,24,0.0339,4207714,False,False
202120,2021-05-16,430,AM,,13,state,378855,9003.82013,210,12831,7,0.0339,4207714,False,False
202119,2021-05-15,429,AM,,13,state,378645,8998.82929,507,12824,16,0.0339,4207714,False,False
202119,2021-05-14,428,AM,,13,state,378138,8986.78,579,12808,16,0.0339,4207714,False,False
202119,2021-05-13,427,AM,,13,state,377559,8973.01955,666,12792,17,0.0339,4207714,False,False
202119,2021-05-12,426,AM,,13,state,376893,8957.19148,595,12775,17,0.0339,4207714,False,False
202119,2021-05-11,425,AM,,13,state,376298,8943.05079,695,12758,12,0.0339,4207714,False,False
202119,2021-05-10,424,AM,,13,state,375603,8926.5335,320,12746,18,0.0339,4207714,False,False
202119,2021-05-09,423,AM,,13,state,375283,8918.92843,211,12728,4,0.0339,4207714,False,False
202118,2021-05-08,422,AM,,13,state,375072,8913.91383,495,12724,8,0.0339,4207714,False,False
202118,2021-05-07,421,AM,,13,state,374577,8902.14972,630,12716,9,0.0339,4207714,False,False
202118,2021-05-06,420,AM,,13,state,373947,8887.17722,545,12707,16,0.034,4207714,False,False
202118,2021-05-05,419,AM,,13,state,373402,8874.22482,599,12691,13,0.034,4207714,False,False
202118,2021-05-04,418,AM,,13,state,372803,8859.98906,675,12678,20,0.034,4207714,False,False
202118,2021-05-03,417,AM,,13,state,372128,8843.94709,410,12658,17,0.034,4207714,False,False
202118,2021-05-02,416,AM,,13,state,371718,8834.20309,412,12641,5,0.034,4207714,False,False
202117,2021-05-01,415,AM,,13,state,371306,8824.41155,530,12636,9,0.034,4207714,False,False
202117,2021-04-30,414,AM,,13,state,370776,8811.81563,592,12627,12,0.0341,4207714,False,False
202117,2021-04-29,413,AM,,13,state,370184,8797.74623,696,12615,28,0.0341,4207714,False,False
202117,2021-04-28,412,AM,,13,state,369488,8781.20519,634,12587,25,0.0341,4207714,False,False
202117,2021-04-27,411,AM,,13,state,368854,8766.13762,715,12562,34,0.0341,4207714,False,False
202117,2021-04-26,410,AM,,13,state,368139,8749.14502,426,12528,11,0.034,4207714,False,False
202117,2021-04-25,409,AM,,13,state,367713,8739.02076,371,12517,11,0.034,4207714,False,False
202116,2021-04-24,408,AM,,13,state,367342,8730.20362,544,12506,12,0.034,4207714,False,False
202116,2021-04-23,407,AM,,13,state,366798,8717.27499,829,12494,20,0.0341,4207714,False,False
202116,2021-04-22,406,AM,,13,state,365969,8697.57308,536,12474,20,0.0341,4207714,False,False
202116,2021-04-21,405,AM,,13,state,365433,8684.83457,671,12454,23,0.0341,4207714,False,False
202116,2021-04-20,404,AM,,13,state,364762,8668.88767,734,12431,35,0.0341,4207714,False,False
202116,2021-04-19,403,AM,,13,state,364028,8651.44352,442,12396,25,0.0341,4207714,False,False
202116,2021-04-18,402,AM,,13,state,363586,8640.939,484,12371,9,0.034,4207714,False,False
202115,2021-04-17,401,AM,,13,state,363102,8629.43632,701,12362,10,0.034,4207714,False,False
202115,2021-04-16,400,AM,,13,state,362401,8612.77644,773,12352,15,0.0341,4207714,False,False
202115,2021-04-15,399,AM,,13,state,361628,8594.40542,893,12337,18,0.0341,4207714,False,False
202115,2021-04-14,398,AM,,13,state,360735,8573.18249,820,12319,25,0.0341,4207714,False,False
202115,2021-04-13,397,AM,,13,state,359915,8553.69448,995,12294,23,0.0342,4207714,False,False
202115,2021-04-12,396,AM,,13,state,358920,8530.04743,489,12271,14,0.0342,4207714,False,False
202115,2021-04-11,395,AM,,13,state,358431,8518.42592,535,12257,12,0.0342,4207714,False,False
202114,2021-04-10,394,AM,,13,state,357896,8505.71118,737,12245,19,0.0342,4207714,False,False
202114,2021-04-09,393,AM,,13,state,357159,8488.19573,1172,12226,24,0.0342,4207714,False,False
202114,2021-04-08,392,AM,,13,state,355987,8460.34212,960,12202,25,0.0343,4207714,False,False
202114,2021-04-07,391,AM,,13,state,355027,8437.52689,1098,12177,41,0.0343,4207714,False,False
202114,2021-04-06,390,AM,,13,state,353929,8411.43196,953,12136,29,0.0343,4207714,False,False
202114,2021-04-05,389,AM,,13,state,352976,8388.78308,664,12107,35,0.0343,4207714,False,False
202114,2021-04-04,388,AM,,13,state,352312,8373.00254,448,12072,11,0.0343,4207714,False,False
